Date,Time,R_or_D,Before_or_After_Shooting,screen_name,text,case,race,mentions_terror,Shooting_related_terrorism
2/25/16,14:49:39,R,After,JudgeTedPoe,•The Somali terrorist group al Shabaab killed four people and injured eight others on Thursday in a mortar attack... https://t.co/HSYxnZFojq,General-Islamic,,1,0
12/3/15,16:19:49,R,After,JudgeTedPoe,"Today's Terrorism Update: 

British Tornado jets carried out air strikes against Islamic State targets in Syria... https://t.co/vCzITdlNZk",General-Islamic,,1,0
10/2/15,15:07:51,R,After,JudgeTedPoe,"Today's Terrorism Update:
On the third day of airstrikes in Syria, Russian jets continued bombing areas mainly... http://t.co/vDkEydFTBy",General-Islamic,,1,0
10/1/15,14:37:37,R,After,JudgeTedPoe,"Today's Terrorism Update:
Russian jets carried out a second day of air strikes in Syria today, targeting areas... http://t.co/nDwnMqwGLP",General-Islamic,,1,0
7/17/15,13:03:04,R,After,JudgeTedPoe,"Today's #TerrorismUpdate:
http://t.co/CT0gN9tUbZ",General-Islamic,,1,1
7/16/15,15:38:14,R,After,JudgeTedPoe,"Today's #TerrorismUpdate:
http://t.co/CT0gN9tUbZ",General-Islamic,,1,1
6/17/15,20:25:04,R,After,JudgeTedPoe,@World_Wildlife House passes Poe amendment requiring report on #terrorist use of Wildlife #Trafficking. http://t.co/jC2qno3eMw,General,,1,0
6/17/15,19:50:23,R,After,JudgeTedPoe,Poe amendment passes requiring report on #terrorist use of Wildlife #Trafficking. http://t.co/jC2qno3eMw @ElephantLeague @united4wildlife,General,,1,0
6/17/15,19:49:17,R,After,JudgeTedPoe,House passes Poe amendment requiring report on #terrorist use of Wildlife #Trafficking. http://t.co/jC2qno3eMw  @TuskTrust @KensingtonRoyal,General,,1,0
6/12/16,20:07:06,R,After,RepComstock,This is an attack on all civilized people.  We must stand united..against..terrorism. https://t.co/RDTiFfkOmv #VA10 https://t.co/xjc8udAOf1,Inside,Other,1,1
10/1/15,19:45:14,R,After,RepComstock,3 NOVA victims of Iranian terrorist acts are entitled to $645.5 mill. in restitution. https://t.co/TNqhGhfzQY #VA10 https://t.co/b2yTduSYmK,General-Iran,,1,0
7/16/15,22:05:32,R,After,RepDaveBrat,In 5yrs #IranDeal lifts arms embargo agst Iran providing add'l arms 4 terrorism &amp;proxy wars agst our allies in region http://t.co/79VoQLserJ,General-Iran,,1,0
10/1/15,21:00:21,R,After,RepRobertHurt,"Today, I voted in favor of the Justice for Victims of Iranian Terrorism Act: 
https://t.co/zwjxyURKwN #NotOneCent",General-Iran,,1,0
6/12/16,23:12:41,R,After,RepScottRigell,Teri &amp; I join our nation in deploring the #Orlando terror attack &amp; mourning the profound loss. https://t.co/mdOaEKBj4B,Inside,Other,1,1
10/2/15,21:06:19,R,After,HerreraBeutler,Voted so Iran receives #NotOneCent in sanction relief until it pays the families victimized by its terrorist actions https://t.co/wU2lqRdSti,General-Iran,,1,0
10/1/15,20:44:20,R,After,RepNewhouse,Today I voted to require Iran to pay court-ordered compensation to Iran's state-sponsored terror victims https://t.co/f4ExNiION7,General-Iran,,1,0
10/1/15,17:58:35,R,After,RepEvanJenkins,Victims of Iranian terrorism deserve justice. #NotOneCent https://t.co/EOpnR6yWEu,General-Iran,,1,0
10/1/15,18:01:53,R,After,RepAlexMooney,The victims of Iran’s terror deserve justice. That’s why I voted for H.R. 3457. https://t.co/lRfooq1OfA,General-Iran,,1,0
6/12/16,6:00:00,R,After,lisamurkowski,We need to come together to ensure we don't let terrorists divide us while we seek to protect ourselves &amp; ensure this never happens again.,Inside,Other,1,1
6/12/16,6:00:00,R,After,lisamurkowski,What happened in Orlando was an absolute tragic act of terrorism spawned by an ideology of hate being pushed by ISIS.,Inside,Other,1,1
6/12/16,6:00:00,R,After,JohnBoozman,This act of terrorism in #Orlando is an attack on our freedoms. We must have the resolve to defeat #ISIS. https://t.co/JrY94bilZ7 #arpx,Inside,Other,1,1
9/23/16,6:00:00,R,After,SenCoryGardner,I'll continue to work to ensure that the terrorists in GTMO stay in Cuba and out of our backyards. Learn more here: https://t.co/cUvTSozJ9l,General-Guantanamo ,,1,0
7/26/13,6:00:00,R,After,SaxbyChambliss,"w recidivism rate at 28%, no detainee should be transferred unless we're confident he will be monitored and can't renew terrorist ties.",General-Guantanamo ,,1,0
7/26/13,6:00:00,R,After,SaxbyChambliss,People across America are very concerned that WH still has no plan for these hard-core terrorists if efforts to close Gitmo are successful.,General-Guantanamo ,,1,0
6/13/16,6:00:00,R,After,SenatorRisch,I'll be live in a few minutes with @wolfblitzer on @CNNSitRoom to discuss what we know about Orlando terror attack. https://t.co/v52qbBASQn,Inside,Other,1,1
7/18/16,6:00:00,R,After,SenatorKirk,The flawed #IranDeal gives Tehran billions in resources to support terrorism &amp; terror sponsoring regimes https://t.co/isl9ozpW1w,General-Iran,,1,0
6/12/16,6:00:00,R,After,SenatorKirk,The #Orlando terrorist attack reminds us of the threat ISIS poses &amp; the need for swift action to protect Americans. https://t.co/Vx5fp3kcf2,Inside,Other,1,1
2/26/16,6:00:00,R,After,SenatorKirk,Reckless policy of transferring #Gitmo terrorists to state-sponsors of terror allows them to rejoin the fight: https://t.co/say7O3cUPc,General-Guantanamo ,,1,0
10/1/15,6:00:00,R,After,SenatorKirk,In 13-9 vote Senate Banking passes Toomey-Kirk “Justice for Victims of Iranian Terror” bill as House votes on bill http://t.co/yBkuTW5TP2,General-Iran,,1,0
6/18/15,6:00:00,R,After,SenDanCoats,@marybschneider I don't support torture (who does) but don't want to overly restrict Pres when US faces most terrorist threats since 9-11,General,,1,0
6/17/15,6:00:00,R,After,SenDanCoats,The Obama Administration cannot overlook Iran’s support for terrorism http://t.co/alU8zqP4DC,General-Iran,,1,0
9/24/16,6:00:00,R,After,SenateMajLdr,.@SenRubioPress discusses how Americans must not accept terrorist attacks as the new normal. https://t.co/A6qYpciul6 via @ABCNewsRadio,General,,1,0
7/8/16,6:00:00,R,After,SenateMajLdr,"At a time when we face an array of terror threats around the globe, we cannot afford to put politics above support for our troops.",General,,1,0
6/13/16,6:00:00,R,After,SenateMajLdr,It’s no longer a question if followers of #ISIS &amp; other terrorist groups will attempt to strike the West. They have &amp; they'll continue to.,General-Islamic,,1,0
6/13/16,6:00:00,R,After,SenatorCollins,"As we mourn the victims of terrorism in #Orlando, we must stand strongly with our LGBT friends against this violent hatred.",Inside,,1,0
6/12/16,6:00:00,R,After,SenThomTillis,My heart goes out to everyone affected by the horrific act of terror in Orlando. Susan &amp; I are praying for the victims &amp; their families.,Orlando nightclub massacre,Other,1,1
2/26/16,6:00:00,R,After,SenThomTillis,I will do everything I can to help stop the President's plan to close #Gitmo and keep terrorists out of America. https://t.co/9SROPcvjAw,General-Guantanamo ,,1,0
6/12/16,6:00:00,R,After,SenatorBurr,"Law enforcement authorities are investigating the attack as a terrorist incident, and we should allow the investigation to unfold.",Inside,Other,1,1
6/17/15,6:00:00,R,After,SenatorBurr,On @CNNSitRoom - We've got to be on these terrorists from the beginning.,General,,1,0
6/17/15,6:00:00,R,After,SenatorBurr,On @CNNSitRoom - Clearly there are a lot of terrorist groups that have the intent 2 attack &amp; indivs who have been inspired 2 take action.,General,,1,0
6/12/16,6:00:00,R,After,JimInhofe,My prayers are w/all those impacted by this senseless act of terror in Orlando. Thank you to brave 1st responders who saved lives.,Inside,Other,1,1
2/25/16,6:00:00,R,After,SenatorLankford,Even AG Lynch admits it's illegal to transfer terrorists from #Gitmo to the US. The law that prohibits it was signed by POTUS last year.,General-Guantanamo ,,1,0
6/12/16,6:00:00,R,After,SenToomey,Law enforcement officials are investigating this shooting as an act of terrorism &amp; it appears to have taken many lives. 2/3,Inside,Other,1,1
10/1/15,6:00:00,R,After,SenToomey,Why is @POTUS threatening to veto a bill to provide justice to victims of Iranian terrorism? http://t.co/xuoIcGbUyV,General-Iran,Other,1,0
6/13/16,6:00:00,R,After,SenBobCorker,"Appreciate the Christians, Muslims and leaders of all faiths who have stepped forward to condemn the tragic terrorist attack in Orlando.",Inside,Other,1,1
12/3/15,18:21:30,D,After,RepDeSaulnier,"Over the last 11 yrs, 2,000+ suspects on the FBI Terrorist Watchlist bought weapons in the U.S. Congress must close this #TerroristLoophole",General,,1,0
6/13/16,18:39:27,D,After,LorettaSanchez,"Let's stand in solidarity with the LGBTQ community against hate, gun violence &amp; terrorism #PrayForOrlando https://t.co/Bj2xILHAOl",Inside,Other,1,1
12/3/15,1:56:29,D,After,AGBecerra,It’s time to end these senseless acts of #gunviolence terrorizing our children and families #SanBernardino #ColoradoSpringsShooting,Inside,Other,1,1
6/13/16,14:19:53,D,After,BradSherman,My deepest sympathies to the victims of this tragedy.We must do everything we can to keep guns out of the hands of terrorists #OrlandoUnited,Inside,Other,1,1
11/27/15,15:37:57,D,After,BradSherman,Will be on @msnbc at 11:30am (8:30amPT) discussing #terrorism #isis and U.S. Foreign policy,General-Islamic,,1,0
6/13/16,17:59:10,D,After,RepAdamSchiff,"Donald Trump's next impulse after terror attack was to ban Muslims again; how predictable, how counter-productive. https://t.co/VDC6WVRN2E",Inside,Other,1,1
6/13/16,17:58:36,D,After,RepAdamSchiff,Donald Trump's first impulse after the terror attack was to congratulate himself. How very Presidential. https://t.co/VDC6WVRN2E,Inside,Other,1,1
6/13/16,13:40:10,D,After,RepAdamSchiff,The mass shooting in #Orlando was an attack on the LGBT community and all Americans. An act of terror and hate.,Inside,Other,1,1
6/12/16,16:38:22,D,After,RepAdamSchiff,"This morning, I'll be marching in WeHo Pride Parade with heavy heart. We march in solidarity with all victims of terrorism &amp; hatred #Orlando",Inside,Other,1,1
12/3/15,17:26:36,D,After,RepAdamSchiff,FBI is conducting investigation into suspects to determine motive &amp; whether there is any connection to terror or evidence of radicalization.,Inside,Other,1,1
12/3/15,14:42:36,D,After,RepAdamSchiff,"At this point, we can’t rule anything out. We're examining if any links to terror, workplace violence or other motivations. #SanBernardino",Inside,Other,1,1
11/28/15,18:08:41,D,After,RepAdamSchiff,"As we continue to confront terrorist threats, reforms such as these are a model of how privacy and security need not be mutually exclusive",General,,1,0
11/27/15,22:06:04,D,After,RepAdamSchiff,Will be talking with @MarthaRaddatz on @ThisWeekABC on Sunday about terror threat &amp; ISIS strategy in Syria and Iraq. https://t.co/LZBKEoCWIY,General-Islamic,,1,0
7/16/15,22:48:55,D,After,RepAdamSchiff,I received preliminary briefing. It's too early to determine whether gunman had connection to foreign terrorist org such as ISIS or Al Qaeda,Inside,Other,1,0
5/23/14,16:36:58,D,After,RepAdamSchiff,"Read CNN's @evanperez great story on sunsetting the #AUMF: ""Setback for ending the 'never-ending' war"" http://t.co/blEpiCHWo4 #WarOnTerror",General,,1,0
6/13/16,0:09:26,D,After,RepMcNerney,"We cannot stand for these acts of hate, violence &amp; terrorism that cut short the lives of too many innocent victims: https://t.co/8zKHRvAa2X",Inside,Other,1,1
6/12/16,22:22:49,D,After,RepPerlmutter,"The horrific attack in Orlando is a clear act of terrorism &amp; hate. My heart is with the victims, their families and the Orlando community.",Inside,Other,1,1
12/2/15,18:34:30,D,After,RepPerlmutter,People on the FBI’s Terrorist Watchlist shouldn’t be able to buy guns &amp; explosives- that’s why I’m supporting #HR1076.,Inside,Other,1,1
6/12/16,15:57:50,D,After,RepJoeCourtney,Hate/terrorism has struck in Orlando today. America stands with #OrlandoStrong.,Inside,Other,1,1
12/3/15,15:40:42,D,After,RepJoeCourtney,Voted for 3rd time this week for bipartisan legislation to close gun loophole for suspects on FBI Terror Watchlist. Blocked by GOP Majority.,General,,1,0
6/12/16,16:22:05,D,After,GwenGraham,This act of terror is a hate crime against the entire LGBT community.  Hate and extremism is dangerous and disgusting in any form.  4/,Inside,Other,1,1
6/13/16,17:53:43,D,After,RepCheri,"To all mourning the terrorist attack in #Orlando, know that I stand w/ you in pride, resolve &amp; compassion #LGBT https://t.co/jBBPgE9e0P",Inside,Other,1,1
7/17/15,11:53:16,D,After,Call_Me_Dutch,"Talking #terrorism w/ @FOXBaltimore, tune in!",General,,1,0
6/12/16,16:44:43,D,After,chelliepingree,"Thoughts w/families, police officers in FL shooting. Let’s set aside differences &amp; stand up to gun violence, hate crimes, domestic terror.",Inside,Other,1,1
7/7/16,19:49:21,D,After,RepLawrence,FACT: @HouseGOP have refused to keep guns out of the hands of suspected terrorists 19 times! RT to tell them: #enough; #DisarmHate!,General,,1,0
12/3/15,15:26:57,D,After,RepLawrence,Will @HouseGOP miss the 3rd opportunity this week to close a loophole that allows those on US #terrorist watch list to legally buy #guns?,General,,1,0
12/2/15,15:34:21,D,After,RepLawrence,When will @HouseGOP close the loophole that allows suspected #terrorists to legally buy guns in the U.S.? https://t.co/iiViA3RdII,Inside,Other,1,1
11/28/15,20:24:05,D,After,RepLawrence,Tell @TheJusticeDept to #InvestigateClinicViolence as domestic terrorism. Sign now: https://t.co/FVjlfANQ9Y,Inside,White,1,1
9/6/11,14:06:39,D,After,BillOwensNY,Watertown Daily Times | 10th Mountain has been on front line of war against terrorism: http://t.co/2RIEBRp,General,,1,0
6/13/16,13:45:08,D,After,RepJeffries,We must identify all ISIS inspired terrorists on our soil and keep weapons of mass destruction out of their hands #PrayForOrlando,Inside,Other,1,1
6/13/16,20:55:06,D,After,NitaLowey,"In addition to fighting ISIS terror, we must stop gun violence to prevent another heinous attack like Orlando. #orlandounited",Inside,Other,1,1
6/13/16,20:04:25,D,After,NitaLowey,Our hearts &amp; prayers are w/ all those affected by Orlando attack &amp; w/ LGBTQ community. We must stand against hate &amp; terror #orlandounited,Inside,Other,1,1
6/12/16,18:56:05,D,After,RepEliotEngel,An act of terror and the worst mass shooting in American history. My heart goes out to the people of #Orlando during this horrifying time.,Inside,Other,1,1
6/12/16,18:51:18,D,After,RepEliotEngel,"The scourge of gun violence, whether by terrorists in Orlando or gangs in Mt. Vernon, must be stopped. We need to get guns off the streets.",Inside,Other,1,1
12/3/15,23:38:45,D,After,RepGregoryMeeks,"My statement:""Republicans Disallowing Vote on the Denying Firearms and Explosives to Dangerous Terrorists Act"" here: https://t.co/pS9E2O5sja",General,,1,0
7/7/16,18:36:30,D,After,RepSteveIsrael,.@HouseGOP infighting has gotten so bad they can't even agree that we need to do more to protect Americans from terrorism #DoYourJob,General,,1,0
6/12/16,14:15:58,D,After,RepSteveIsrael,Prayers for victims of terrorist gun attacks in #Orlando. Angry that @HouseGOP rejects closing gun loopholes. #beholdentoNRA,Inside,Other,1,1
12/3/15,16:14:47,D,After,RepSteveIsrael,3rd day in row @HouseGOP votes to continue allowing suspected terrorists to legally buy #guns that could be used against Americans,General,,1,0
12/2/15,19:56:26,D,After,RepSteveIsrael,2nd day in row @HouseGOP blocks vote on bipartisan bill 2 prevent suspected terrorists from buying guns- playing politics w Americans safety,General,,1,0
12/2/15,18:46:37,D,After,RepSteveIsrael,Must read of the day: @HouseGOP blocks House debate on bill to stop suspected terrorists from buying guns → https://t.co/3lXblszSUG,General,,1,0
6/17/15,14:47:36,D,After,RepSteveIsrael,House passed my #bipartisan amendment to better prevent illicit tunnels from being used by terrorist/criminal orgs http://t.co/XjuCkMxWh0,General,,1,0
7/7/16,17:00:56,D,After,TimRyan,.@politico we're talking about preventing suspected terrorists from purchasing guns. It shouldn't be a difficult decision. #NoFlyNoBuy,General,,1,0
7/8/16,1:51:53,D,After,RepMarcyKaptur,"Today I tried 2 times to force vote on @RepPeterKing's #NoFlyNoBuy bill -- FBI’s terrorist list from buying guns.
 
https://t.co/5Gl2BJ0LcB",General,,1,0
12/3/15,22:25:56,D,After,RepMarcyKaptur,House Republican Leadership needs to stop blocking a vote to keep guns out of the hands of terrorists. My statement: https://t.co/g5WESXN9sy,General,,1,0
6/12/16,17:58:06,D,After,RepBrady,Deeply appalled &amp; saddened by the innocent murders in #Orlando. My prayers are with the victims of this hate crime and act of terrorism.,Inside,Other,1,1
6/12/16,17:50:46,D,After,repjimcooper,Horrible news out of Orlando. We must be resolute against terrorism &amp; do more to keep guns out of the hands of maniacs who would do us harm.,Inside,Other,1,1
6/13/16,18:42:28,D,After,RepGeneGreen,Our prayers are w/the victims of Sunday’s horrifying act of terror at #Orlando’s Pulse gay nightclub. #HTX is w/you. https://t.co/K5j5YkIZRr,Inside,Other,1,1
9/7/11,13:55:34,D,After,RepJimMcDermott,"Graphic: how Patriot ""sneak-and-peak"" warrants have been used. Only .8% of the time to investigate terror. http://t.co/qrXOhVG via @nymag",General,,1,0
10/2/15,18:31:18,D,After,RepGwenMoore,.@POTUS to media: post numbers of those killed through terrorist attacks/gun violence. US news orgs have responded. http://t.co/SUfimKMDpz,General,,1,0
6/12/16,18:34:08,D,After,repmarkpocan,"1/2 .@SpeakerRyan ""an act of terror and an act of hate"" with an assault weapon. Any chance Congress takes on any of the 3 issues this week?",Inside,Other,1,1
4/22/13,6:00:00,D,After,MarkUdall,Glad @TheJusticeDept will try Tsarnaev in fed court. We have powerful record of convicting terrorists in fed courts; justice will be served.,General,,1,0
4/22/13,6:00:00,D,After,MarkUdall,Int’l teamwork is critical to stopping #terrorism. Glad #Canada averted an attack on a #Toronto-NYC rail line: http://t.co/kVzXA9KoSx,General,,1,0
6/13/16,6:00:00,D,After,SenGaryPeters,We stand in solidarity with #Orlando following devastating terrorist attack. See #MI area events to honor victims: https://t.co/ZzyB2rHo6J,Inside,,1,1
9/27/12,6:00:00,D,After,FrankLautenberg,Must read: #GOP #NJ mayors support closing gun show loophole &amp; Terror Gap. Putting the safety of #NJ over #NRA agenda. http://t.co/eKze8lxc,General,,1,0
6/13/16,6:00:00,D,After,SenatorReid,We have responsibility to do what we can to prevent gun violence. Let's start by closing loophole allowing terrorists to purchase weapons.,General,,1,0
6/13/16,6:00:00,D,After,SenatorReid,"This act of terror was an attack on the LGBT community; an attack on acceptance, freedom and love; an attack on America.",Inside,Other,1,1
12/3/15,6:00:00,D,After,SenatorReid,"If a suspected terrorist is trying to purchase a gun, the Republican response is ""maybe."" Our response is ""no!"" https://t.co/6hywgbgTKF",General,,1,0
12/3/15,6:00:00,D,After,SenatorReid,Republicans are offering an alternative amendment that doesn't keep terrorists from getting guns. https://t.co/lyNMN0ItwL,General,,1,0
12/3/15,6:00:00,D,After,SenJackReed,We face threats from terrorists &amp; mass-shootings. GOP should agree on need to prevent terrorist suspects on no-fly list from buying guns.,General,,1,0
7/15/16,1:22:07,R,Before,RepMarthaRoby,"The latest from Nice, France via NBC news. 75 or more killed apparent terror attack... https://t.co/YdLwNxix80",France Attacks,,1,0
2/23/16,20:56:48,R,Before,salmoncongress,"With global terrorism on the rise, closing #Gitmo is not the answer.",General-Guantanamo ,,1,0
9/21/16,23:00:47,R,Before,RepEdRoyce,"This Friday, the House will vote on legislation I've authored to prohibit future cash payments to #Iran, the #1 state sponsor of terror. https://t.co/ZSI7Y4kOtp",General-Iran,,1,0
2/23/16,21:28:14,R,Before,RepEdRoyce,"As @HouseForeign Chair, I introduced the Terrorist Release Transparency Act today regarding news on #Gitmo: https://t.co/oaBeQr0SmT",General-Guantanamo ,,1,0
5/21/14,19:19:01,R,Before,KenCalvert,"Yesterday, I voted for H.Res. 573, which condemns the horrific abductions in Nigeria by a terrorist group.  #freeourgirls",General-Islamic,,1,0
7/15/16,2:50:50,R,Before,DarrellIssa,"To the victims of this horrible attack on France, know this: we are with you all the way. We must defeat these terrorists.",France Attacks,,1,0
2/23/16,20:12:25,R,Before,DarrellIssa,Moving terrorists from Gitmo to U.S. soil proves Obama is once again willing to set aside the rule of law https://t.co/T8OxHkOH4V,General-Guantanamo ,,1,0
7/15/16,15:30:20,R,Before,RepPaulCook,My prayers are with the families of the victims of last night's horrific terror attack in France. https://t.co/F7U363hwfv,France Attacks,,1,0
7/15/16,0:10:20,R,Before,RepDavidValadao,"America stands united with France against terror. Praying for the victims in #Nice, their loved ones, and the Nation of France.",France Attacks,,1,0
7/5/16,17:12:21,R,Before,RepDLamborn,Always a pleasure to join @securefreedom radio. We discussed terrorism and #GITMO issues Listen here: https://t.co/i5Bx5CkBAy,General-Guantanamo ,,1,0
9/21/16,20:36:35,R,Before,RepTipton,Depriving evil regimes of the ability to fund terrorism should not be a partisan issue. Proud to support @RepPoliquin's #HR5461. https://t.co/WNJpyEpc7O,General-Iran,,1,0
7/15/16,1:52:28,R,Before,RepKenBuck,"Evil has struck again, this time in Nice, France. Let's pray tonight for those impacted by this horrible terrorist attack.",France Attacks,,1,0
2/23/16,18:24:04,R,Before,RepKenBuck,I don’t want terrorists in my neighborhood. Keep the terrorists in #Gitmo,General-Guantanamo ,,1,0
2/23/16,18:13:03,R,Before,RepKenBuck,I will fight to the very end to keep #Gitmo terrorists off of American soil.,General-Guantanamo ,,1,0
2/23/16,18:00:42,R,Before,RepKenBuck,Congress has already told the President he cannot legally transfer terrorists from #Gitmo to American soil.,General-Guantanamo ,,1,0
2/23/16,16:59:22,R,Before,RepKenBuck,Should Guantanamo terrorists be transferred to Colorado prisons? #Gitmo #copolitics,General-Guantanamo ,,1,0
7/15/16,12:01:25,R,Before,AnderCrenshaw,"America stands with France as it mourns the innocent,
peaceful lives lost to another round of devastating terrorism. #PrayForNice",France Attacks,,1,0
9/29/15,19:45:37,R,Before,AnderCrenshaw,#NotOneCent in sanctions relief until victims of Iran-sponsored terrorism paid relief they are due. http://t.co/jdUinx5Hy0,General-Iran,,1,0
2/23/16,17:13:06,R,Before,RepGusBilirakis,Not only is this illegal...moving terrorists to our homeland is an incredibly reckless decision: https://t.co/CK8zTpk7Qj #Gitmo,General-Guantanamo ,,1,0
2/23/16,15:43:13,R,Before,VernBuchanan,"Pentagon plan to close Gitmo is “dangerous, irresponsible and illegal.” 1 in 3 released detainees return to terror. https://t.co/ui6EcfzxyR",General-Guantanamo ,,1,0
12/12/12,19:03:37,R,Before,VernBuchanan,American tax dollars must not be used to aid and abet any dictatorial regime that stands with terrorists! #NoAid2Egypt http://t.co/EtaNnVrT,General-Islamic,,1,0
5/18/12,13:34:42,R,Before,VernBuchanan,heading to the floor to vote DOWN an amendment granting constitutional rights to foreign terrorists captured on U.S. soil,General,,1,0
7/24/13,14:59:27,R,Before,TomRooney,Video: Blocking Pay for #FtHood terrorist http://t.co/VAMUuXUVQF,Inside,Latino,1,1
4/19/13,14:02:44,R,Before,TomRooney,"Video: #FtHood victim w/bullets still in body, waiting for govt to label attack terrorism so he can get med benefits http://t.co/zzmcGZ8keq",Inside,Latino,1,1
4/19/13,14:00:51,R,Before,TomRooney,"Video: by refusing to recognize #FtHood attacks as terrorism, Obama Admin denies victims #PurpleHeart, benefits http://t.co/zzmcGZ8keq",Inside,Latino,1,1
2/23/16,16:33:43,R,Before,RepDennisRoss,POTUS' irresponsible plan to close #GuantanamoBay puts our nation &amp; its people in direct danger. This is a free pass for terrorists to kill.,General-Guantanamo ,,1,0
7/14/15,11:48:38,R,Before,RepDennisRoss,POTUS legacy paves way for a Nuclear Iran and gives Tehran millions to fund their global terror. #StandWithIsrael #baddeal,General-Iran,,1,0
2/23/16,17:43:34,R,Before,RepDeSantis,Congress should remain steadfast in blocking the President from bringing hardened terrorists to our shores: https://t.co/qQHgqrR5HL. #GTMO,General-Guantanamo ,,1,0
7/14/15,14:50:49,R,Before,RepDeSantis,"Make no mistake, #IranDeal less a ""deal"" than a list of concessions to world's leading state sponsor of terrorism: http://t.co/8Qw6GxOY2K.",General-Iran,,1,0
7/14/15,11:28:12,R,Before,RepDeSantis,"#IranDeal will further destabilize the Middle East, allow Iran to foment more terrorism &amp; aid Iran's rise as dominant power in the region.",General-Iran,,1,0
9/29/15,18:04:35,R,Before,USRepDavidJolly,#NotOneCent for Iran until they compensate the victims of its state-sponsored terrorism. https://t.co/liNYAZf9kG,General-Iran,,1,0
9/21/16,11:36:03,R,Before,JackKingston,Hillary calls millions of Americans deplorable &amp; unredeemable but won't call terrorists radical Isalamic extremists https://t.co/r92PBM4xz5,General-Islamic,,1,0
9/21/16,22:35:09,R,Before,RepTomGraves,House just passed legislation to help provide first responders w/ the skills &amp; training to counter terrorist threats https://t.co/bJ3Jf96tvJ,General,,1,0
2/23/16,16:58:56,R,Before,RepTomGraves,"Moving terrorists held at #Gitmo to US puts Americans at risk. That's why Congress passed legislation making it illegal, which @POTUS signed",General-Guantanamo ,,1,0
7/15/16,15:35:48,R,Before,RepRobWoodall,"Following the attack on #Nice, we mourn for the victims &amp; pray for families. We must pursue the defeat of terrorists wherever we find them.",France Attacks,,1,0
9/21/16,15:53:09,R,Before,RepBuddyCarter,Just spoke with @GeorgeColli about @HouseHomeland hearing on preventing terror attacks from a local perspective. https://t.co/YogZC2PqQf,General,,1,0
7/15/16,15:59:24,R,Before,CongressmanHice,Our hearts are heavy as we pray for the victims of the heinous #NiceAttack. This tragedy reminds us that terrorism must be defeated.,France Attacks,,1,0
9/29/15,14:40:43,R,Before,RepLoudermilk,Press Conference to announce the findings of the Task Force on Combating Terrorism and Foreign Fighter Travel at 11: http://t.co/oG7XTgx935,General,,1,0
7/14/15,19:27:27,R,Before,RepLoudermilk,Under no circumstances should the U.S. negotiate with terrorists who have repeatedly shown they cannot be trusted. http://t.co/BGAYWU9kTw,General-Iran,,1,0
7/15/16,14:43:14,R,Before,RepRickAllen,The world is in mourning. Another senseless &amp; horrific attack by radical terrorists who seek to destroy us at all costs. #PrayForNice,France Attacks,,1,0
7/15/16,19:22:05,R,Before,RepRodBlum,Heartfelt condolences to victims and their families in Nice. We must always remain vigilant in the face of terrorism.,France Attacks,,1,0
7/15/16,14:54:35,R,Before,RepHultgren,...Independence Day with families &amp; friends. We stand with you against terrorism. We mourn with you the loss of your loved ones. (2/2),France Attacks,,1,0
7/15/16,11:17:02,R,Before,RepWalorski,"As we mourn those killed in the horrific attack in Nice, including two Americans, we stand strong with the people of France against terror.",France Attacks,,1,0
2/23/16,16:08:54,R,Before,RepWalorski,Closing #GITMO &amp; putting terrorists on American soil is one of the worst ideas a president could propose.,General-Guantanamo ,,1,0
9/29/15,20:38:29,R,Before,RepWalorski,#NotOneCent for Iran until they compensate the victims of its state-sponsored terrorism http://t.co/XQV8DdOvMO,General-Iran,,1,0
7/15/16,15:39:39,R,Before,RepLarryBucshon,"My statement on the terrorist attack in Nice, France: https://t.co/xOOmPzXm1R. https://t.co/ns2Rbou2Et",France Attacks,,1,0
7/15/16,15:37:07,R,Before,SenToddYoung,We consider #Nice an attack on all of us &amp; are prepared to use every instrument of nat'l power to end the terrorization of civilized people.,France Attacks,,1,0
6/10/16,17:57:23,R,Before,SenToddYoung,"1 year post-Obama's nuclear deal, largest state sponsor of terror Iran's military budget increased by 90%...https://t.co/qWVbC0CVi7",General-Iran,,1,0
7/15/16,1:24:57,R,Before,JerryMoran,"Deeply saddened by attack in Nice, France tonight. We must provide our intel &amp; law enforcement agencies the tools needed to stop terrorists.",France Attacks,,1,0
7/15/16,3:31:44,R,Before,RepHuizenga,What a horrible tragedy (and likely terrorist attack) that has hit our friends and allies in #NiceFrance. Praying for all of the victims.,France Attacks,,1,0
11/30/15,13:21:46,R,Before,RepMikeRogers,"Fighting ISIS is no longer about Syria and Iraq, it's about preventing terrorism around the world. #STTA https://t.co/pwhfY1FtUh",General-Islamic,,1,0
7/24/13,13:28:08,R,Before,RepMikeRogers,"@WSJ : Defunding NSA would ""return to a pre-9/11 mindset of treating terrorists like street burglars"" http://t.co/av2OPpUy4i",General,,1,0
7/24/13,12:01:19,R,Before,RepMikeRogers,TUNE IN: @mibigshow at 8:06 this morning to discuss the importance of our National Security Agency's anti-terror programs.,General,,1,0
5/18/12,14:00:10,R,Before,RepMikeRogers,U.S. Justice Dept urges terror label for Nigerian militants http://t.co/I2ZPlRHF,General,,1,0
